obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/backpack2/features/rgb_0003_label_backpack2<pfhrgb_susan_2015-05-28_11-03-48.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33792: 'http://tycho:33792/', host_tycho__36920: 'http://tycho:36920/',
    host_tycho__38466: 'http://tycho:38466/', host_tycho__43508: 'http://tycho:43508/',
    host_tycho__58449: 'http://tycho:58449/', host_tycho__60265: 'http://tycho:60265/'}
rosversion: '1.11.10

  '
run_id: 7950d88e-08b2-11e5-8cb7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-20.pcd 0.00791187 0.00225812 0.000654593 1 4 1 1 378972 79 110 11 16 79 110 11 16 378893,56,17,4,2 0,8,2,0,1 0,56,17,4,2 0,8,2,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-22.pcd 0.00653058 0.00100548 0.00065764 1 19 15 1 409266 83 110 13 16 83 110 13 16 409183,63,13,7 0,11,1,1 0,63,13,7 0,11,1,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-24.pcd 0.0063843 0.000603701 0.000509627 1 5 1 0 372900 80 110 6 6 80 110 6 6 372820,57,19,2,1,1 0,6,0,0,0,0 0,57,19,2,1,1 0,6,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-25.pcd 0.00677499 0.00136364 0.000297591 1 7 1 0 373296 66 110 8 15 66 110 8 15 373230,42,14,5,2,2,0,1 0,5,0,2,1,0,0,0 0,42,14,5,2,2,0,1 0,5,0,2,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-27.pcd 0.00914044 0.000978543 0.000497203 1 22 14 1 397188 72 110 14 22 72 110 14 22 397116,45,19,7,0,0,1 0,8,4,2,0,0,0 0,45,19,7,0,0,1 0,8,4,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-29.pcd 0.00780711 0.00172157 0.000600277 2 26,20 21,14 0,0 371316 78 110 7 11 78 110 7 11 371238,57,12,7,2 0,3,4,0,0 0,57,12,7,2 0,3,4,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-30.pcd 0.00923761 0.00174546 0.000551172 1 8 1 0 397683 73 110 4 5 73 110 4 5 397610,55,8,5,4,0,0,0,1 0,3,1,0,0,0,0,0,0 0,55,8,5,4,0,0,0,1 0,3,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-32.pcd 0.00831517 0.000521134 0.000536813 1 6 1 0 364914 78 110 6 10 78 110 6 10 364836,56,17,3,0,1,1 0,2,4,0,0,0,0 0,56,17,3,0,1,1 0,2,4,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-34.pcd 0.00491745 0.000966403 0.000520305 1 5 1 -1 393294 72 110 -1 -1 72 110 -1 -1 393222,48,14,7,2,1 -1 0,48,14,7,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-18_22-56-34.pcd 0.00686668 0.00152998 0.000497687 1 17 12 0 401016 73 110 7 11 73 110 7 11 400943,47,18,6,1,1 0,4,2,1,0,0 0,47,18,6,1,1 0,4,2,1,0,0
