obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/chair1/features/rgb_0015_label_chair1<pfhrgb_iss_2015-05-28_11-02-05.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34214: 'http://tycho:34214/', host_tycho__37523: 'http://tycho:37523/',
    host_tycho__53891: 'http://tycho:53891/', host_tycho__54279: 'http://tycho:54279/'}
rosversion: '1.11.10

  '
run_id: 84786236-0777-11e5-ab29-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-38.pcd 0.0240937 0.00164744 0.00182623 4 112,64,43,37 28,22,17,12 0,0,0,0 361152 219 550 20 69 219 550 20 69 360933,102,43,29,19,7,5,4,2,2,1,2,0,2,1 0,6,4,2,4,1,1,0,0,1,0,0,0,1,0 0,102,43,29,19,7,5,4,2,2,1,2,0,2,1 0,6,4,2,4,1,1,0,0,1,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-39.pcd 0.0270412 0.000649926 0.00141054 4 117,64,39,36 24,16,24,18 1,0,0,0 390080 240 550 29 126 240 550 29 126 389840,125,46,26,15,12,4,2,1,5,3,0,0,0,1 0,7,7,1,2,2,1,2,1,4,2,0,0,0,0 0,125,46,26,15,12,4,2,1,5,3,0,0,0,1 0,7,7,1,2,2,1,2,1,4,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-40.pcd 0.0206583 0.000664615 0.00132808 5 110,63,47,42,39 35,26,17,17,15 0,0,0,0,0 386628 246 550 12 17 246 550 12 17 386382,123,51,33,15,9,5,4,2,1,1,0,1,0,0,0,1 0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0 0,123,51,33,15,9,5,4,2,1,1,0,1,0,0,0,1 0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-41.pcd 0.0225373 0.000954345 0.000965481 3 63,54,33 21,21,12 0,0,0 368000 223 550 18 79 223 550 18 79 367777,110,35,28,20,11,8,5,1,1,1,0,1,1,0,0,1 0,4,1,3,3,2,1,2,0,1,0,0,0,1,0,0,0 0,110,35,28,20,11,8,5,1,1,1,0,1,1,0,0,1 0,4,1,3,3,2,1,2,0,1,0,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-42.pcd 0.0188242 0.000672239 0.00102777 6 93,44,35,31,19,18 27,13,13,18,15,15 1,0,0,0,0,0 382800 244 550 25 86 244 550 25 86 382556,141,42,22,9,10,8,2,2,1,1,1,3,0,1,1 0,6,5,5,1,4,2,1,0,0,0,0,1,0,0,0 0,141,42,22,9,10,8,2,2,1,1,1,3,0,1,1 0,6,5,5,1,4,2,1,0,0,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-43.pcd 0.0174565 0.000914855 0.00124135 4 131,49,48,42 27,13,27,18 1,0,0,0 353856 200 550 25 115 200 550 25 115 353656,89,45,20,15,8,3,4,3,4,2,4,0,2,0,1 0,10,1,2,3,1,0,0,1,2,1,4,0,0,0,0 0,89,45,20,15,8,3,4,3,4,2,4,0,2,0,1 0,10,1,2,3,1,0,0,1,2,1,4,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-44.pcd 0.0221105 0.000630756 0.0013326 4 184,54,37,31 38,20,21,13 0,0,0,0 371200 199 550 0 0 199 550 0 0 371001,84,31,31,22,6,12,5,0,4,0,1,2,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,84,31,31,22,6,12,5,0,4,0,1,2,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-45.pcd 0.0218659 0.000503243 0.00153749 4 86,84,37,37 23,17,16,14 0,0,0,0 424320 217 550 3 6 217 550 3 6 424103,95,55,23,18,7,7,4,1,1,0,1,0,2,2,0,0,1 0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,95,55,23,18,7,7,4,1,1,0,1,0,2,2,0,0,1 0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.0156524 0.000965421 0.00101599 4 55,42,26,25 12,18,13,16 -1 374912 258 550 -1 -1 258 550 -1 -1 374654,150,43,26,20,5,3,1,4,1,1,1,0,1,0,1,1 -1 0,150,43,26,20,5,3,1,4,1,1,1,0,1,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.018639 0.00102878 0.000827535 3 141,132,44 25,30,22 0,1,0 413952 200 550 24 115 200 550 24 115 413752,95,40,23,9,10,3,3,7,1,3,0,3,1,0,0,0,0,1,1 0,8,1,0,1,5,1,1,3,1,3,0,0,0,0,0,0,0,0,0 0,95,40,23,9,10,3,3,7,1,3,0,3,1,0,0,0,0,1,1 0,8,1,0,1,5,1,1,3,1,3,0,0,0,0,0,0,0,0,0
