obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<shot_uniform_2015-05-26_14-45-48.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37502: 'http://tycho:37502/', host_tycho__45610: 'http://tycho:45610/'}
rosversion: '1.11.10

  '
run_id: c409d12e-0889-11e5-bf95-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-55-10.pcd 1.33563 0.00180295 0.00201579 6 135,81,60,50,18,16 101,64,45,39,16,15 -1 449955 796 940 -1 -1 400 544 -1 -1 449159,673,105,16,1,1 -1 0,277,105,16,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-17_10-55-09.pcd 1.35906 0.000931708 0.00187501 6 140,74,52,39,21,17 113,58,35,29,18,17 -1 424446 800 940 -1 -1 400 540 -1 -1 423646,683,98,15,4 -1 0,283,98,15,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-17_10-56-19.pcd 1.37444 0.000932953 0.00182275 6 133,50,36,32,30,27 112,39,31,23,23,19 -1 445269 813 940 -1 -1 400 527 -1 -1 444456,704,94,12,3 -1 0,291,94,12,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-17_10-56-01.pcd 1.49289 0.00078759 0.00182256 7 126,76,54,33,22,21,13 103,57,38,22,16,16,12 -1 461736 800 940 -1 -1 400 540 -1 -1 460936,681,100,18,0,1 -1 0,281,100,18,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-00.pcd 1.26255 0.000654365 0.00183501 8 162,55,34,32,30,25,19,18 139,37,29,25,22,21,18,17 -1 404481 832 940 -1 -1 400 508 -1 -1 403649,741,78,10,2,1 -1 0,309,78,10,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-07.pcd 1.30591 0.0008153 0.00177209 5 181,56,41,36,26 136,45,27,32,18 -1 424710 795 940 -1 -1 400 545 -1 -1 423915,678,95,16,6 -1 0,283,95,16,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-09.pcd 1.18376 0.000610801 0.00182422 6 166,77,46,42,17,17 119,55,37,32,15,14 0,0,0,0,0,0 456456 781 940 8 10 400 559 2 4 455675,654,101,22,2,2 0,6,2,0,0,0 0,273,101,22,2,2 0,0,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-08.pcd 1.17799 0.000746926 0.00185908 8 145,45,42,39,24,23,22,17 116,37,34,31,23,17,13,14 0,0,0,0,0,0,0,0 449592 799 940 16 19 400 541 4 7 448793,685,96,11,6,0,1 0,14,1,1,0,0,0 0,286,96,11,6,0,1 0,2,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-56-10.pcd 1.23639 0.000617679 0.00186068 4 149,87,38,35 119,70,24,30 -1 451044 791 940 -1 -1 400 549 -1 -1 450253,675,90,20,5,1 -1 0,284,90,20,5,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-23.pcd 1.13119 0.000595966 0.00185994 5 173,57,54,39,15 141,52,37,30,12 0,0,0,0,0 451044 809 940 8 9 400 531 1 2 450235,700,91,15,2,1 0,7,1,0,0,0 0,291,91,15,2,1 0,0,1,0,0,0
