obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfhrgb_iss_2015-05-28_11-02-00.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37084: 'http://tycho:37084/', host_tycho__42857: 'http://tycho:42857/',
    host_tycho__43439: 'http://tycho:43439/', host_tycho__51487: 'http://tycho:51487/',
    host_tycho__58076: 'http://tycho:58076/'}
rosversion: '1.11.10

  '
run_id: 10f5358e-08ba-11e5-b2fa-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-38.pcd 0.00934817 0.00172458 0.00102753 1 6 1 -1 361152 130 180 -1 -1 130 180 -1 -1 361022,97,24,4,3,1,1 -1 0,97,24,4,3,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-39.pcd 0.0137882 0.000573102 0.000805057 1 5 1 -1 390080 125 180 -1 -1 125 180 -1 -1 389955,98,12,6,5,4 -1 0,98,12,6,5,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-40.pcd 0.0128923 0.00207394 0.000976864 1 16 13 0 386628 136 180 3 4 136 180 3 4 386492,111,13,6,5,1 0,2,1,0,0,0 0,111,13,6,5,1 0,2,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-41.pcd 0.0134312 0.00159712 0.000742147 1 19 17 0 368000 128 180 9 12 128 180 9 12 367872,95,20,8,4,1 0,7,1,1,0,0 0,95,20,8,4,1 0,7,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-42.pcd 0.0128186 0.00174882 0.00072721 1 6 1 -1 382800 126 180 -1 -1 126 180 -1 -1 382674,96,15,8,6,0,1 -1 0,96,15,8,6,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-43.pcd 0.0110896 0.000551336 0.000818705 1 5 1 1 353856 128 180 4 10 128 180 4 10 353728,96,20,5,6,1 0,1,2,0,0,1 0,96,20,5,6,1 0,1,2,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-44.pcd 0.0127275 0.00143728 0.000756678 1 46 25 1 371200 123 180 8 12 123 180 8 12 371077,95,14,2,9,3 0,6,1,0,1,0 0,95,14,2,9,3 0,6,1,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-45.pcd 0.011671 0.000901289 0.000775119 1 20 14 1 424320 126 180 8 10 126 180 8 10 424194,89,25,8,3,1 0,7,0,1,0,0 0,89,25,8,3,1 0,7,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.00587232 0.000588764 0.000652622 2 40,34 16,15 -1 374912 98 180 -1 -1 98 180 -1 -1 374814,57,16,15,5,4,1 -1 0,57,16,15,5,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.0114457 0.000651867 0.000801102 1 35 21 0 413952 129 180 7 21 129 180 7 21 413823,96,21,7,4,1 0,2,0,2,2,1 0,96,21,7,4,1 0,2,0,2,2,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-47.pcd 0.0112511 0.0013812 0.000839602 1 25 12 1 347136 126 180 8 17 126 180 8 17 347010,99,12,5,8,2 0,5,0,1,1,1 0,99,12,5,8,2 0,5,0,1,1,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-48.pcd 0.0118473 0.00153115 0.000862834 1 17 14 0 442784 129 180 3 7 129 180 3 7 442655,96,20,9,3,1 0,2,0,0,0,1 0,96,20,9,3,1 0,2,0,0,0,1
