obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shotcolor_susan_2015-05-28_11-02-44.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38635: 'http://tycho:38635/', host_tycho__38827: 'http://tycho:38827/',
    host_tycho__42783: 'http://tycho:42783/', host_tycho__43098: 'http://tycho:43098/',
    host_tycho__45327: 'http://tycho:45327/', host_tycho__48038: 'http://tycho:48038/',
    host_tycho__52154: 'http://tycho:52154/', host_tycho__54900: 'http://tycho:54900/',
    host_tycho__55233: 'http://tycho:55233/', host_tycho__57244: 'http://tycho:57244/'}
rosversion: '1.11.10

  '
run_id: a6b75fba-076c-11e5-b564-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-02.pcd 0.0595867 0.00178068 0.000351457 1 2 1 -1 378972 38 40 -1 -1 38 40 -1 -1 378934,36,2 -1 0,36,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-04.pcd 0.0451448 0.00101927 0.000164009 1 3 1 -1 409266 32 40 -1 -1 32 40 -1 -1 409234,26,4,2 -1 0,26,4,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-07.pcd 0.022173 0.000521223 0.000106515 1 2 1 -1 372900 37 40 -1 -1 37 40 -1 -1 372863,34,3 -1 0,34,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-09.pcd 0.0600616 0.000615003 0.000272918 1 2 1 -1 373296 37 40 -1 -1 37 40 -1 -1 373259,34,3 -1 0,34,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-11.pcd 0.0460936 0.0010108 0.000370543 1 3 1 -1 397188 38 40 -1 -1 38 40 -1 -1 397150,37,0,1 -1 0,37,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-14.pcd 0.0408638 0.000617279 0.000263467 1 3 1 -1 371316 33 40 -1 -1 33 40 -1 -1 371283,27,5,1 -1 0,27,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-16.pcd 0.0238494 0.000385254 0.000135442 1 2 1 -1 397683 33 40 -1 -1 33 40 -1 -1 397650,26,7 -1 0,26,7 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-18.pcd 0.0428489 0.000592702 0.000301226 1 2 1 -1 364914 38 40 -1 -1 38 40 -1 -1 364876,36,2 -1 0,36,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-21.pcd 0.0213979 0.000931951 0.000131443 1 3 1 -1 393294 35 40 -1 -1 35 40 -1 -1 393259,31,3,1 -1 0,31,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-22.pcd 0.043051 0.000629636 0.000279396 1 2 1 -1 401016 37 40 -1 -1 37 40 -1 -1 400979,34,3 -1 0,34,3 -1
